% # columns="iteration, evaluation, void, void, void, xmean", seed=781784, Sat Oct  7 12:02:40 2023, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 7 0 0 0 0.005707482724029227 -0.0054700556036448205 -0.0022171004722473494
2 14 0 0 0 0.005124235781732021 -0.00582596279650666 -0.0024219589688142746
3 21 0 0 0 0.0062312718883696825 -0.006524717446567185 -0.002018692089462637
4 28 0 0 0 0.008001912333760667 -0.010093587846702062 -0.003670693201283618
5 35 0 0 0 0.005205089101232523 -0.008573745362929206 -0.0012063220850063359
6 42 0 0 0 0.005259700972032617 -0.007205066025686409 6.938845921836568e-05
7 49 0 0 0 0.005067335132215563 -0.0059940899805291485 0.004339473551611135
8 56 0 0 0 0.0035848798400496284 -0.004771411522745364 0.009851178560045745
9 63 0 0 0 -0.0007503518277825424 -0.004299960634002426 0.00952355672721931
10 70 0 0 0 0.0006307479916607918 -0.004310742884460853 0.005888690702064951
11 77 0 0 0 -0.003714661918519653 -0.00294709450628301 0.0065469063797877185
12 84 0 0 0 -0.0016792198726467578 -0.003305694734441436 0.005520680462803477
13 91 0 0 0 -0.003018431457345867 -0.0017119113165769686 0.0037009322295138408
14 98 0 0 0 -0.003930094315919806 -0.0017270282305289772 0.0011962352560428826
