% # columns="iter, evals, sigma, 0, fitness, xbest" seed=781784, Sat Oct  7 12:02:40 2023, <python>{}</python>
1 7 0.00626353878652538 0 0.11 0.009462911851799686 -0.005525152741852352 -0.0022765917108947577
2 14 0.005363229887720813 0 0.05 0.00043313133983190113 -0.0020948438572271928 0.0011810947642630649
3 21 0.00443847849755781 0 -0.19 0.00686630584729492 -0.004557241695967908 -0.0008851950551699767
4 28 0.004521955959016263 0 0.14 0.006978704059886704 -0.010241913151795016 -0.0021323718208095055
5 35 0.0038983816469667335 0 0.11 0.004118559032057073 -0.007258977868673034 -0.00015959211471505957
6 42 0.003348558005951939 0 0.11 0.003420205288800153 -0.007209678568514736 0.0006327811529013225
7 49 0.004257093154459379 0 0.04 0.0038259585956532116 -0.005027092930232035 0.005332090405006603
8 56 0.00581635672497636 0 0.12 0.003878255190921397 -0.0034805295522180213 0.011778011525482069
9 63 0.006377915435350372 0 0.25 -0.0013861180451731308 -0.0046071329614865274 0.011038223618454473
10 70 0.0053021562823193985 0 0.1 0.002645393897793399 -0.003193014107147821 0.008227023886355546
11 77 0.005551120126378398 0 -0.07 -0.005970176187489627 -0.002909348648890456 0.002773384074650271
12 84 0.00448998431280216 0 0.07 -0.00321573134994313 -0.0009802104290079963 0.008758045139533478
13 91 0.004894095614847994 0 -0.03 -0.00416874065532785 -0.001433187641603009 0.005817075492223446
14 98 0.004996719732326096 0 0.09 -0.0037048886164660084 -0.0013591174882024418 0.0019904428112015797
